Cell,HTAN_Biospecimen_ID,subtype
RU1181C_231906435288371,HTA8_2010_1,SCLC-N
RU426B_131174405683053,HTA8_2018_1,SCLC-A
RU1215_120850289937118,HTA8_2012_1,SCLC-N
RU1215_230738082293669,HTA8_2012_1,SCLC-N
RU779D_170866391538076,HTA8_2019_1,SCLC-N
RU1066_200511149271475,HTA8_2003_1,SCLC-A
RU779D_129524063693211,HTA8_2019_1,SCLC-N
RU1124A_LN_240550056970995,HTA8_2006_1,SCLC-A
PleuralEffusion_197135466425061,HTA8_2001_1,SCLC-A
PleuralEffusion_160903109666675,HTA8_2001_1,SCLC-A
RU779D_192188576586086,HTA8_2019_1,SCLC-N
RU1066_200561480648436,HTA8_2003_1,SCLC-A
RU1229A_Frozen_236700589739364,HTA8_2013_1,SCLC-A
RU1145_157004384652725,HTA8_2008_1,SCLC-A
RU1080C_206061366852445,HTA8_2004_1,SCLC-A
RU779D_121416401477020,HTA8_2019_1,SCLC-N
RU1080C_240617687833446,HTA8_2004_1,SCLC-A
RU1065C_191689600649077,HTA8_2002_1,SCLC-A
RU1080C_192317694363501,HTA8_2004_1,SCLC-A
RU1066_236082114447732,HTA8_2003_1,SCLC-A
RU1065C_200418688350134,HTA8_2002_1,SCLC-A
RU1065C_170122122587427,HTA8_2002_1,SCLC-A
RU779D_200923780429613,HTA8_2019_1,SCLC-N
RU1229A_Frozen_126888177256180,HTA8_2013_1,SCLC-A
RU1229A_Frozen_230679179573165,HTA8_2013_1,SCLC-A
RU1195A_126843079801254,HTA8_2011_1,SCLC-A
RU779D_199874688994611,HTA8_2019_1,SCLC-N
PleuralEffusion_236288388741878,HTA8_2001_1,SCLC-A
RU1080C_169021702888372,HTA8_2004_1,SCLC-A
